name,esr_code,settlement_name,latitude,longitude,region
Абадзехская,535004,Абадзехская,44.3941666666667,40.22,
Абаевский,795736,Абаевский,57.5425,66.8533333333333,
Абаза,887500,Абаза,52.6516666666667,90.0886111111111,
Абай,672907,Абай,50.4333333333333,85.0555555555556,
Абакан,888004,Абакан,53.7211111111111,91.4425,
Абакан (перев.),888108,Абакан,53.7211111111111,91.4425,
Абакумовка,889401,Абакумовка,52.1308333333333,41.1519444444444,
Абалаково,882309,Абалаково,55.0691666666667,94.8316666666667,
Абганерово,612408,Абганерово,48.0761111111111,44.1830555555556,
Абдулино,659902,Абдулино,53.6777777777778,53.6472222222222,
Абрамовка,583600,Абрамовка,48.9855555555556,131.5125,
Абросово,043010,Абросово,58.7133333333333,35.4333333333333,
Аван,972064,Аван,47.4811111111111,134.658333333333,
Августовский,429106,Августовский,53.2027777777778,33.3494444444444,
Авда (рзд),889149,Авда,55.7383333333333,94.6208333333333,
Авдеевка,482803,Авдеевка,53.43,34.7388888888889,
Авдеевка,898701,Авдеевка,53.43,34.7388888888889,
Аверьяновка,880356,Аверьяновка,54.5725,100.071944444444,
Авилово,622522,Авилово,50.2197222222222,45.0705555555556,
Авсюнино,231903,Авсюнино,55.5561111111111,39.0669444444444,
Ага,943502,Ага,51.1875,115.178055555556,
Агириш,778800,Агириш,61.9263888888889,63.0175,
Агроном,524508,Агроном,53.8941666666667,47.9794444444444,
Агрыз,254905,Агрыз,56.5263888888889,52.9952777777778,
Агул (рзд),889440,Агул,55.7525,95.8327777777778,
Адамово (рзд),162012,Адамово,57.8016666666667,37.5961111111111,
Адарка,974214,Адарка,44.6961111111111,132.910555555556,
Адикаевка (рзд),633226,Адикаевка,53.2747222222222,43.8916666666667,
Адищево (рзд),765321,Адищево,58.1769444444444,56.4241666666667,
Адникан (рзд),919005,Адникан,50.95,132.410555555556,
Адриановка,943305,Адриановка,51.5647222222222,114.516944444444,
Азанка,788408,Азанка,58.0397222222222,64.7916666666667,
Азарово,188601,Азарово,56.2691666666667,33.9088888888889,
Азат,687508,Азат,54.8008333333333,50.9127777777778,
Азей,922205,Азей,54.4538888888889,100.790277777778,
Азиатская,772908,Азиатская,58.3536111111111,59.535,
Азов,510806,Азов,45.3219444444444,34.34,
Азов (перев.),518704,Азов,45.3219444444444,34.34,
Азов (эксп.),510308,Азов,45.3219444444444,34.34,
Азовская,472303,Азовская,44.7897222222222,38.6194444444444,
Азовская,869304,Азовская,44.7897222222222,38.6194444444444,
Ай,806466,Ай,55.2077777777778,59.5322222222222,
Айгир (рзд),654010,Айгир,54.125,57.7,
Айнак,837303,Айнак,53.1825,78.4755555555556,
Ак-Куль,692601,Ак-Куль,54.9088888888889,48.3744444444444,
Академическая,062900,Академическая,57.72,34.3425,
Акбаш,647523,Акбаш,56.3833333333333,59.0288888888889,
Акимовка,475903,Акимовка,51.5863888888889,82.5883333333333,
Акимовка,822007,Акимовка,51.5863888888889,82.5883333333333,
Аккуль,647591,Аккуль,54.4947222222222,52.5013888888889,
Аксаково,656500,Аксаково,54.3313888888889,56.2097222222222,
Аксариха,792831,Аксариха,56.9052777777778,62.9661111111111,
Аксеново,656752,Аксеново,60.3513888888889,36.1166666666667,
Аксу I,695701,Аксу,55.1813888888889,48.0855555555556,
Аксу II,695805,Аксу,55.1813888888889,48.0855555555556,
Актай,690604,Актай,55.8366666666667,47.2983333333333,
Актай (рзд),774015,Актай,55.8366666666667,47.2983333333333,
Акташ,648005,Акташ,54.9941666666667,52.1113888888889,
Акулово,180108,Акулово,55.6630555555556,37.2325,
Акульшет,920303,Акульшет,55.9083333333333,98.0808333333333,
Акур (рзд),966909,Акур,49.8208333333333,140.089444444444,
Алагир,538407,Алагир,43.0416666666667,44.22,
Алагир (эксп.),538905,Алагир,43.0416666666667,44.22,
Алакуртти,014709,Алакуртти,66.9658333333333,30.3497222222222,
Аламбай,841826,Аламбай,54.0244444444444,85.8805555555556,
Аланап,917715,Аланап,50.0136111111111,131.991111111111,
Алапаевск,786506,Алапаевск,57.8475,61.6694444444444,
Алат,730708,Алат,56.1944444444444,49.2077777777778,
Алатырь,247600,Алатырь,54.8419444444444,46.5877777777778,
Албаба,249108,Албаба,55.6297222222222,48.34,
Албаши,515804,Албаши,46.2569444444444,38.6138888888889,
Алга,668301,Алга,53.7261111111111,52.2869444444444,
Алдан,914001,Алдан,58.6030555555556,125.384444444444,
Александрия,410400,Александрия,54.4825,47.325,
Александров,237007,Александров,56.3977777777778,38.7275,
Александров II,237011,Александров,56.3977777777778,38.7275,
Александров Гай,626909,Александров Гай,50.1436111111111,48.5741666666667,
Александровка,413108,Александровка,55.6008333333333,33.3138888888889,
Александровка,513541,Александровка,55.6008333333333,33.3138888888889,
Александровская,034806,Александровская,59.9244444444444,36.0094444444444,
Алексеевка,581407,Алексеевка,53.6991666666667,54.2986111111111,
Алексеевская,657502,Алексеевская,62.815,41.1708333333333,
Алексин,211401,Алексин,54.3597222222222,37.0072222222222,
Алеур,949119,Алеур,52.5563888888889,117.058611111111,
Алешинка,053101,Алешинка,52.8511111111111,34.3905555555556,
Алзамай,920708,Алзамай,55.555,98.6641666666667,
Алкино,651648,Алкино,54.6422222222222,55.5597222222222,
Аллагуват,652808,ст. Аллагуват,53.466988,55.920907,
Алнаши,255109,Алнаши,56.1866666666667,52.4769444444444,
Алонка,916905,Алонка,51.3411111111111,132.441388888889,
Алпатово,539607,Алпатово,57.5516666666667,37.7777777777778,
Алпатьево,234507,Алпатьево,54.8802777777778,39.3236111111111,
Алтай,714601,Алтай,54.7452777777778,51.955,
Алтата,628209,Алтата,51.1013888888889,48.7341666666667,
Алтухово,203903,Алтухово,55.3175,37.5619444444444,
Алтыновка,327701,Алтыновка,44.4016666666667,132.53,
Алтышево,247704,Алтышево,54.8997222222222,46.7177777777778,
Алферово,243205,Алферово,56.1297222222222,42.4791666666667,
Алхо,022423,Алхо,61.3188888888889,29.7236111111111,
Алчан,972312,Алчан,46.6336111111111,134.323333333333,
Альмеж,272509,Альмеж,60.0525,48.0408333333333,
Алябьево,778209,Алябьево,51.7061111111111,36.4780555555556,
АЛШИХОВО,248020,Алшихово,55.3938888888889,47.2127777777778,
Амазар,951104,Амазар,53.8566666666667,120.852222222222,
Амбарный,013706,Амбарный,65.8958333333333,33.7180555555556,
Амга,914228,Амга,60.8972222222222,131.980555555556,
Амгунь,918801,Амгунь,51.4147222222222,135.083055555556,
Амзя,257509,Амзя,53.8644444444444,55.7422222222222,
Амировка (рзд),646616,Амировка,54.2041666666667,50.1630555555556,
Амур,970302,Амур,54.2188888888889,101.113333333333,
Амурский (рзд),960052,Амурский,49.8488888888889,136.256111111111,
Амурский Залив,982117,Амурский,49.8488888888889,136.256111111111,
Анапа,522803,Анапа,44.895,37.3163888888889,
Анатольская,770635,Анатольская,57.6922222222222,60.1083333333333,
Ангарск,932029,Ангарск,52.5441666666667,103.888055555556,
Ангасолка,933200,Ангасолка,51.7530555555556,103.749444444444,
Ангоя,903505,Ангоя,56.0088888888889,110.909722222222,
Андосово (обп),245037,Андосово,55.5338888888889,45.7402777777778,
Андреаполь,067903,Андреаполь,56.6508333333333,32.2619444444444,
Андреевка,605832,Андреевка,56.1697222222222,55.3536111111111,
Андреево,045603,Андреево,55.0252777777778,31.615,
Андриановичи,776504,Андриановичи,59.9291666666667,60.6027777777778,
Андриановская,933144,Андриановская,64.2938888888889,41.6580555555556,
Андроновка,199318,Андроновка,54.0177777777778,41.5358333333333,
Анисимовка,983603,Анисимовка,58.7227777777778,38.4738888888889,
Анна,591201,Анна,51.4894444444444,40.4241666666667,
Анненково (рзд),643923,Анненково,53.0108333333333,46.3786111111111,
Аносово,806409,Аносово,58.1263888888889,44.3116666666667,
Аносовская,910424,Аносовская,60.4622222222222,42.945,
Антипиха,942302,Антипиха,51.9955555555556,113.558888888889,
Антоновка,355203,Антоновка,58.0619444444444,63.7402777777778,
Антоновка (рзд),417842,Антоновка,58.0619444444444,63.7402777777778,
Антропово,306300,Антропово,55.7705555555556,30.8069444444444,
Анучино (рзд),630923,Анучино,54.2938888888889,45.5377777777778,
Анциферово,194757,Анциферово,56.1480555555556,39.8408333333333,
Апатиты,016009,Апатиты,67.5677777777778,33.4066666666667,
Апрелевка,181009,Апрелевка,55.5452777777778,37.0733333333333,
Арабатук,945616,Арабатук,50.1586111111111,117.069722222222,
Арамиль,794409,Арамиль,56.6944444444444,60.8444444444444,
Арамогойтуй,945724,Арамогойтуй,50.3830555555556,117.609166666667,
Аранец (обп),288028,Аранец,64.8322222222222,57.8436111111111,
Арасланово,807416,Арасланово,53.0197222222222,56.1002777777778,
Арбеково (рзд),630124,Арбеково,55.3872222222222,35.7688888888889,
Арбузовка,846105,Арбузовка,45.6266666666667,34.3333333333333,
Арбузово,205006,Арбузово,52.0186111111111,35.0352777777778,
Арга,954009,Арга,54.2380555555556,42.0380555555556,
Аргаяш,803101,Аргаяш,55.4891666666667,60.8755555555556,
Аргун,541405,Аргун,53.3677777777778,105.931111111111,
Ардатов,247403,Ардатов,54.8466666666667,46.2411111111111,
