Четверг 12 мар.2026г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
    1., Ост. Пункт 1054 км,Х,84 84-я дорога,849762,
    2.,2-я Магистральная,О,92 В-Сиб (Р),924446,
    3.,3-я Успенка,О,58 Ю-Вост (Р),595654,
    4.,4-й участок,О,92 В-Сиб (Р),934170,
    5.,7 жилой участок,О,80 Ю-Ур (Р),806220,
    6.,Аакре,О,08 Эст,085827,
    7.,Аапста,О,57 Грз,574066,
    8.,Аардла,О,08 Эст,085780,
    9.,Абабково,О,24 Горьк (Р),269116,
   10.,Абдикеево,О,63 Кбш (Р),647248,
   11.,Абзаново,О,63 Кбш (Р),652034,
   12.,Абово,О,01 Окт (Р),066510,
   13.,Абрамиха,О,92 В-Сиб (Р),934582,
   14.,Абрамцево,О,17 Моск (Р),236057,
   15.,Абрикосовый,О,48 Дон (У),500217,
   16.,Абрикосовый,О,89 89-я дорога,959619,
   17.,Абросимово,Б,28 Сев (Р),306813,
   18.,Абыла,О,68 Кзх,670920,
   19.,Аваин,О,51 С-Кав (Р),544427,
   20.,Авангард,О,17 Моск (Р),190213,
   21.,Авдон,О,63 Кбш (Р),651718,
   22.,Авдюшино,О,88 Крас (Р),889632,
   23.,Аверкино,О,63 Кбш (Р),659226,
   24.,Авиамоторная,О,17 Моск (Р),193913,
   25.,Авлаш,О,63 Кбш (Р),648151,
   26.,Авраамовская,Б,13 Бел,154529,
   27.,Австрийский борик,О,83 З-Сиб (Р),873780,
   28.,Автомобилист,О,92 В-Сиб (Р),927143,
   29.,Автоприбор,О,24 Горьк (Р),262719,
   30.,Автостанция,О,43 Южн (У),428090,
   31.,Автостанция,О,83 З-Сиб (Р),865131,
   32.,АВИАБОР,О,24 Горьк (Р),264837,
   33.,Агарзя,Б,24 Горьк (Р),258224,
   34.,Агломератчик,О,83 З-Сиб (Р),865040,
   35.,Агролес,О,17 Моск (Р),214221,
   36.,Агрономический,О,48 Дон (У),487421,
   37.,Агрономический,О,89 89-я дорога,901529,
   38.,Агрополис,О,01 Окт (Р),066718,
   39.,Агротранс,О,58 Ю-Вост (Р),585925,
   40.,Агудзера,О,57 Грз,573813,
   41.,Агурис Кархана,О,57 Грз,571119,
   42.,Адамовское,О,45 Придн (У),458611,
   43.,Аджатар,О,80 Ю-Ур (Р),805020,
   44.,Адмиралтейская Слобода,О,24 Горьк (Р),250228,
   45.,Адо-Тымово,О,96 Д-Вост (Р),997714,
   46.,Адровка,О,13 Бел,168663,
   47.,Азадоглы,О,51 С-Кав (Р),544713,
   48.,Азизбекова,О,55 Азерб,547684,
   49.,Азикеево,О,63 Кбш (Р),654241,
   50.,Азино,О,24 Горьк (Р),276834,
   51.,Азналкино,О,63 Кбш (Р),654237,
   52.,Азово,О,63 Кбш (Р),653889,
   53.,Азовсталь,О,48 Дон (У),484713,
   54.,Азовсталь,О,89 89-я дорога,899719,
   55.,Ай-Ягун,О,76 Сверд (Р),796955,
   56.,Айамаа,О,08 Эст,085757,
   57.,Айвазовский,О,10 Клг (Р),102120,
   58.,Айрите,О,09 Лат,093332,
   59.,Айский мост,О,80 Ю-Ур (Р),806451,
   60.,Айтек,О,68 Кзх,671529,
   61.,Айтмембетово,О,63 Кбш (Р),653840,
   62.,Академгородок,О,32 Ю-Зап (У),322322,
   63.,Академическая,О,92 В-Сиб (Р),930112,
   64.,Аквапарк,О,28 Сев (Р),296058,
   65.,Акварель,О,61 Прив (Р),611570,
   66.,Акимо-Анненка,О,88 Крас (Р),880534,
   67.,Акимовка,О,40 Од (У),411831,
   68.,Аккахарью,О,01 Окт (Р),023214,
   69.,Аккулаево,О,63 Кбш (Р),657023,
   70.,Аксай,О,51 С-Кав (Р),513626,
   71.,Аксеново,О,28 Сев (Р),303533,
   72.,Аксёниха,О,83 З-Сиб (Р),835948,
   73.,Аксиньина,О,17 Моск (Р),200515,
   74.,Аксютовка,О,43 Южн (У),444322,
   75.,Актас,О,68 Кзх,698242,
   76.,Актау,О,68 Кзх,673416,
   77.,Акуаскиа,О,57 Грз,573326,
   78.,Акура,О,57 Грз,562317,
   79.,Акчуринский,О,63 Кбш (Р),642511,
   80.,Ала-Тау,О,88 Крас (Р),886634,
   81.,Алабино,О,17 Моск (Р),181028,
   82.,Алабушево,О,01 Окт (Р),060618,
   83.,Алакуль,Б,80 Ю-Ур (Р),829434,
   84.,Алалампи,О,01 Окт (Р),025135,
   85.,Аланда,О,09 Лат,098649,
   86.,Аларда,О,83 З-Сиб (Р),865214,
   87.,Алатту,О,01 Окт (Р),026227,
   88.,Алгашет,О,92 В-Сиб (Р),920820,
   89.,Алдара,О,55 Азерб,551115,
   90.,Алдарово,О,63 Кбш (Р),656829,
   91.,Алды,Х,51 С-Кав (Р),540905,
   92.,Алебастровая,О,48 Дон (У),494529,
   93.,Алебастровая,О,89 89-я дорога,958620,
   94.,Алебастрово,О,76 Сверд (Р),765533,
   95.,Алеевка,О,40 Од (У),410241,
   96.,Алей,О,83 З-Сиб (Р),843446,
   97.,Александрино,О,17 Моск (Р),173939,
   98.,Александрия,О,13 Бел,156929,
   99.,Александрия-Ровенская,О,35 Льв (У),356634,
  100.,Александровка,О,13 Бел,149111,
  101.,Александровка,О,17 Моск (Р),210818,
  102.,Александровка,О,17 Моск (Р),221210,
  103.,Александровка,О,40 Од (У),423627,
  104.,Александровка,О,43 Южн (У),433633,
  105.,Александровка,О,45 Придн (У),451951,
  106.,Александровка,О,48 Дон (У),506815,
  107.,Александровка,О,58 Ю-Вост (Р),591818,
  108.,Александровка,О,61 Прив (Р),620828,
  109.,Александровка,О,61 Прив (Р),621638,
  110.,Александровка,О,88 Крас (Р),880214,
  111.,Александровка,О,94 Заб (Р),942618,
  112.,Александровка,О,84 84-я дорога,848755,
  113.,Александровская-,О,01 Окт (Р),039025,
,Финляндская,,,,
  114.,Алексеевка,О,01 Окт (Р),048419,
  115.,Алексеевка,О,17 Моск (Р),224736,
  116.,Алексеевка,О,61 Прив (Р),608864,
  117.,Алексеевская,О,17 Моск (Р),174344,
  118.,Алексеевское,О,51 С-Кав (Р),520371,
  119.,Алексино,О,43 Южн (У),445842,
  120.,Алексино,О,58 Ю-Вост (Р),605917,
  121.,Аленевка,Б,58 Ю-Вост (Р),608328,
  122.,Алентуйка,О,94 Заб (Р),941013,
  123.,Аленушка,О,13 Бел,133310,
  124.,Алешево,О,24 Горьк (Р),248158,
  125.,Алешино,О,24 Горьк (Р),261612,
  126.,Алиабад,Б,55 Азерб,559526,
  127.,Алисово,О,58 Ю-Вост (Р),595221,
